# ra,dec,g_cmodel_mag,g_cmodel_magsigma,r_cmodel_mag,r_cmodel_magsigma,i_cmodel_mag,i_cmodel_magsigma,g_psfflux_mag,g_psfflux_magsigma,r_psfflux_mag,r_psfflux_magsigma,i_psfflux_mag,i_psfflux_magsigma,object_id
2.115448504790302,1.247837222808206,20.4503708,0.00169622817,19.9738789,0.0015229329,20.1138439,0.00132962863,20.4564648,0.00164550415,19.9873161,0.00149607554,20.1339417,0.00132593,41649667963904583
2.2466272196386736,1.2309003449113571,18.4173737,0.000492894324,18.0970383,0.000477370457,nan,nan,18.4788399,0.000502026465,18.174263,0.000489242375,18.1196861,0.000626937719,41655028083090496
3.155662447737106,-0.44977407604974085,20.0995331,0.00346936984,19.9860954,0.00239735981,19.8971024,0.00181994832,20.0973969,0.00329271168,19.9882507,0.00237094495,19.8800392,0.00180521456,40585611291132377
4.046201101953911,-0.2534498893407706,20.2963352,0.00313180569,19.8926201,0.00140331127,,,20.2949944,0.00307622086,19.8785686,0.0013928893,,,40590425949485790
8.377907299380876,0.7142982201973246,20.6724796,0.00345315062,20.5817146,0.00340007199,,,20.862175,0.00363551802,20.780405,0.00347815035,,,41672469945269498
22.94230262292325,1.0789241009589141,20.0669174,0.00241864193,19.5966702,0.00181393104,nan,nan,20.0634861,0.00237672543,19.5986671,0.00180247321,nan,nan,41711098881115927
32.33378499813249,-0.8344038832513786,19.7327404,0.00102669734,19.6478405,0.000975708244,19.7851582,0.00204028725,19.7580376,0.00102580921,19.7169685,0.000998082105,19.8160439,0.00203521387,40673838509344226
40.06651083012042,1.1256212472540024,nan,nan,19.696476,0.00209838827,,,nan,nan,19.6947174,0.00207883911,,,41764425195063829
130.75533367234067,5.29580931277759,19.7510014,0.00141111866,,,,,19.780138,0.00142042933,,,,,45230214694833481
131.01663376409982,4.732335680393193,19.1674042,0.000832941209,,,,,19.1662235,0.000812780461,,,,,45229926932040568
135.83599045513918,-0.274022871482288,18.9235725,0.000604845991,18.7205753,0.000614646997,nan,nan,18.9260769,0.000593694567,18.7285652,0.000594109704,18.6006165,0.00049378915,40981852088981685
150.3095759182675,2.399127932865348,18.9459572,0.000757243135,18.9993191,0.000654259056,18.8327255,0.000475284818,18.9464588,0.000731451379,18.9972076,0.000629535178,18.8303394,0.000471203763,43158601644139081
150.31994266824756,1.6815522876521418,19.8354836,0.00131376274,19.7945366,0.00120013941,19.6038609,0.000702061283,19.8444214,0.00127525977,19.7947121,0.00115778623,19.6083698,0.000697012583,43158584464273187
150.94945481349407,4.463426694668573,nan,nan,nan,nan,19.1681557,0.00136427151,nan,nan,nan,nan,19.215313,0.00137187773,45286684924847162
152.36014409043077,-0.27241298311563583,19.4384766,0.000936730357,19.2906952,0.00069766707,19.2118435,0.000585648289,19.4341774,0.000850309094,19.2934628,0.000685050851,19.2170601,0.00058232306,41030093161646786
158.0103704847954,-0.4296574828328112,,,18.7431068,0.000757405884,18.7689533,0.00114073278,,,18.7456093,0.000728854269,18.7722435,0.00113691343,41047955930626323
158.58841699760856,-0.6256375684453208,,,19.380209,0.000893985678,19.2321892,0.00123004476,,,19.3820934,0.00086810044,19.2310238,0.00122126681,41047539318797639
171.23033652211166,-1.6314689642350544,20.9570694,0.00189388206,20.8932381,0.00261329627,,,20.9717884,0.00190567411,20.8995266,0.00259781373,,,40018267586187257
172.61336199047517,-0.7631704885987687,19.0366745,0.000678523385,18.8364334,0.000690889428,,,19.0398788,0.0006792114,18.8359776,0.000685704465,,,41092065244759371
178.7059298347374,1.5787753532478277,19.0839615,0.000973080518,18.8559227,0.00102822913,18.5942955,0.000617382233,19.1110153,0.00097561517,18.8864632,0.00102830282,18.6308098,0.000618482591,43242009909024603
183.08608106612587,0.147875818602897,18.6676064,0.000600931584,18.4674149,0.000511302205,18.5086975,0.0004759531,18.6712151,0.000584865978,18.4812126,0.000508708938,18.520813,0.000473202323,42191426548687459
186.00329046547222,0.9888712497445655,19.6567307,0.000920179416,19.0143814,0.000787321012,18.8966255,0.000548359414,19.6640663,0.000898996776,19.0375938,0.000782002695,18.9298286,0.000550579629,42200377260537433
188.80984879125603,3.071329085071017,,,19.1122723,0.000788376434,,,,,19.1567612,0.000794643129,,,44337398368188636
197.66995141180018,-0.7785739688165714,19.6792526,0.00117760187,19.3555489,0.000708070933,,,19.6782265,0.00114028796,19.3566971,0.000701442186,,,41161471916265846
200.7131247494145,-2.2325877726653043,,,18.6566658,0.00137556589,,,,,18.6665726,0.00136932416,,,40106490509396024
203.0910779911888,-0.78774440827663,,,18.7646675,0.000576560036,,,,,18.7660484,0.000572507328,,,41179338980213392
203.14245223907156,0.15602526133099334,,,20.4690285,0.0017425426,,,,,20.4724102,0.00173094857,,,42248051397495305
216.56131373672693,-0.7311318348025162,19.1101055,0.000650503032,19.0482159,0.000642200583,18.8090401,0.000428960047,19.1078491,0.000624113716,19.0531273,0.000630456838,18.8080311,0.000425516482,41218921398827686
220.93330132802257,-1.4409787245543075,18.6002846,0.000516496715,18.552475,0.000472031359,nan,nan,18.6015396,0.000499690126,18.5531693,0.000468133367,18.4452457,0.000921583734,41232098358493589
