# ra,dec,g_cmodel_mag,g_cmodel_magsigma,r_cmodel_mag,r_cmodel_magsigma,i_cmodel_mag,i_cmodel_magsigma
1.3809190300682133,0.24886639328997778,20.4167366,0.00156276615,19.940609,0.00111422897,19.7835102,0.00112699973
2.115448504790302,1.247837222808206,20.4503708,0.00169622817,19.9738789,0.0015229329,20.1138439,0.00132962863
2.2466272196386736,1.2309003449113571,18.4173737,0.000492894324,18.0970383,0.000477370457,nan,nan
2.5687378769960745,0.20769476706382198,18.4535351,0.000522022718,18.3044205,0.00042458286,nan,nan
2.956836376278381,-0.45745640503514073,20.514164,0.00231682765,20.2492523,0.00150858634,20.2434044,0.00199286547
3.0098017262972756,0.8872501543730871,20.6757431,0.00183020008,20.2942181,0.00150879787,19.9507999,0.00131297938
3.155662447737106,-0.44977407604974085,20.0995331,0.00346936984,19.9860954,0.00239735981,19.8971024,0.00181994832
3.774383387176696,-0.0928932427363123,20.2549801,0.00292005274,20.2035789,0.00165455416,19.9956875,0.00320871873
4.046201101953911,-0.2534498893407706,20.2963352,0.00313180569,19.8926201,0.00140331127,,
8.153199778460644,-0.24629963755542691,20.4920273,0.00227932213,20.3352261,0.00167149003,,
8.377907299380876,0.7142982201973246,20.6724796,0.00345315062,20.5817146,0.00340007199,,
8.961098510816885,-0.7171559057234689,19.0251255,0.00165224785,19.0449333,0.0015555704,,
15.849337325892895,-0.04838260377928678,20.8251781,0.00311108748,20.7422638,0.00216526492,20.5092678,0.00420406368
18.424150780639664,0.8334794417991895,nan,nan,nan,nan,nan,nan
19.217142648582605,-0.10423621947261902,19.4059639,0.00102018483,19.2725067,0.000827158743,19.1074982,0.00152192812
19.955316802067557,-0.2616769690018506,19.2606907,0.000750378007,19.0906067,0.000692758767,18.7840462,0.00111605565
20.31192194231155,-0.2770587274433177,19.7327118,0.000944636879,19.5370121,0.000914216798,19.2373581,0.00134884194
22.035284573527914,0.718803373938904,20.1004906,0.00122026983,20.030035,0.00125633192,19.6732903,0.00171960308
22.94230262292325,1.0789241009589141,20.0669174,0.00241864193,19.5966702,0.00181393104,nan,nan
28.96553308001191,-0.11819229879031248,19.7727947,0.0011616461,19.8501034,0.00125842541,,
29.06735665388482,-0.021540074326024346,18.0397263,0.000376948447,nan,nan,,
30.394382557659625,-1.0547862766299554,18.911953,0.000450820167,18.7257919,0.000499094604,18.7622585,0.000849299366
32.00490240508387,-0.6548206379375039,nan,nan,nan,nan,nan,nan
32.33378499813249,-0.8344038832513786,19.7327404,0.00102669734,19.6478405,0.000975708244,19.7851582,0.00204028725
33.83123686025842,0.7071882981648246,19.6956081,0.000920708291,19.6095409,0.000948727829,,
34.93930011543801,0.3286855796437342,20.4424515,0.0014393148,20.0102692,0.00118555222,,
36.392050663626854,0.06331715071163095,20.5996647,0.0016729699,20.5066738,0.00140275143,,
37.8222960910783,0.12231272344796966,21.0727692,0.00279191229,20.1662407,0.00147675537,,
40.06651083012042,1.1256212472540024,nan,nan,19.696476,0.00209838827,,
128.40237867860202,4.018902634621359,19.4582291,0.00116689352,,,19.1875725,0.00137704809
130.75533367234067,5.29580931277759,19.7510014,0.00141111866,,,,
131.01663376409982,4.732335680393193,19.1674042,0.000832941209,,,,
132.2102563852857,5.415330653820221,19.3482018,0.00134552666,,,,
133.1668573022789,3.7266624441396563,19.5345211,0.00100052007,nan,nan,,
134.6246837058888,1.8426228372606615,19.1114216,0.000628498266,18.9942532,0.000705021957,18.8212452,0.000528397504
134.76913260995403,4.446617008560323,19.4457855,0.000846000039,19.2709618,0.00164978346,nan,nan
135.83599045513918,-0.274022871482288,18.9235725,0.000604845991,18.7205753,0.000614646997,nan,nan
136.03470417387615,4.636724393670173,19.6658421,0.00118750334,19.6911106,0.00192720338,19.4877148,0.00133126893
137.8811068497144,0.0481538066332104,19.8819504,0.0010944414,19.6809158,0.00123300357,19.7221718,0.000888711831
140.01412717295767,-0.1499210796869527,20.2408371,0.00127940287,19.8337364,0.00126492383,19.6747818,0.00090122025
140.64464923326523,0.6481811434960264,19.9953423,0.00109813618,19.9461765,0.00141806842,19.9980412,0.000885860354
141.84318317659486,2.735542202554514,18.6596298,0.000838104868,18.5138855,0.00136256497,18.4347916,0.000960454869
141.9293022623078,4.154383584274395,19.9196167,0.00203310722,19.4204922,0.00240090676,19.1539268,0.00105710176
142.7532186667679,2.1891553760773617,19.1005859,0.00199688133,nan,nan,18.4750633,0.000894209021
147.960131874771,2.6971996943106915,20.4829464,0.00325964112,20.2071877,0.00294342451,20.0190029,0.00172364211
150.3095759182675,2.399127932865348,18.9459572,0.000757243135,18.9993191,0.000654259056,18.8327255,0.000475284818
150.31994266824756,1.6815522876521418,19.8354836,0.00131376274,19.7945366,0.00120013941,19.6038609,0.000702061283
150.94945481349407,4.463426694668573,nan,nan,nan,nan,19.1681557,0.00136427151
152.03131072569295,1.7469686671255327,17.7190361,0.000498620735,nan,nan,nan,nan
152.36014409043077,-0.27241298311563583,19.4384766,0.000936730357,19.2906952,0.00069766707,19.2118435,0.000585648289
158.0103704847954,-0.4296574828328112,,,18.7431068,0.000757405884,18.7689533,0.00114073278
158.58841699760856,-0.6256375684453208,,,19.380209,0.000893985678,19.2321892,0.00123004476
169.6007566745772,-0.9512175372217982,19.2968502,0.00103621662,18.487978,0.000601924083,,
170.88894221258855,1.0438721063419996,20.0697803,0.00127903081,19.6094398,0.000991796725,,
171.23033652211166,-1.6314689642350544,20.9570694,0.00189388206,20.8932381,0.00261329627,,
172.61336199047517,-0.7631704885987687,19.0366745,0.000678523385,18.8364334,0.000690889428,,
173.5475664324984,-0.9272114906018146,19.4342461,0.00113095262,19.2709465,0.00127031351,19.1609879,0.000765311182
178.7059298347374,1.5787753532478277,19.0839615,0.000973080518,18.8559227,0.00102822913,18.5942955,0.000617382233
183.08608106612587,0.147875818602897,18.6676064,0.000600931584,18.4674149,0.000511302205,18.5086975,0.0004759531
183.7308681913672,-1.8085738432573695,18.704237,0.000633238815,18.7745132,0.000737630238,18.8460922,0.000625802379
184.51365304219962,0.21026555103701877,18.5552788,0.000707878848,18.3739948,0.0006174437,nan,nan
