CSSRA,CSSDec,objID,raMean,decMean,raMeanErr,decMeanErr,qualityFlag,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagNpt,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagNpt,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagNpt,rMeanKronMag,rMeanKronMagErr,nDetections,ng,nr,ni,gFlags,gQfPerfect,rFlags,rQfPerfect,iFlags,iQfPerfect,primaryDetection,bestDetection
5.0903311,-1.264349,106480050903553190,5.09034912,-1.26435397,0.0105100004002452,0.0054199998266995,52,20.5004005432129,0.0187689997255802,10,20.3178997039795,0.0197570007294416,24,20.3080997467041,0.0118169998750091,14,20.3889007568359,0.0476079992949963,64,10,24,15,115000,0.999855995178223,115000,0.999544978141785,115000,0.999038994312286,1,1
20.4731979,-1.2615889,106480204731766569,20.47320026,-1.26160277,0.00581000000238419,0.00347999995574355,52,20.0076999664307,0.0141740003600717,11,19.7922992706299,0.0110809998586774,19,19.6373996734619,0.0127360001206398,15,19.9377002716064,0.0244689993560314,83,12,21,22,115000,0.999477028846741,115000,0.999688982963562,115000,0.999101996421814,1,1
30.5763798,-1.263782,106480305763613896,30.57638809,-1.26379664,0.0158900003880262,0.0168200004845858,52,20.7924003601074,0.0568270012736321,8,20.5638008117676,0.0409610010683537,14,20.2588996887207,0.0294460002332926,20,20.4981994628906,0.0588099993765354,66,9,17,24,115000,0.999624013900757,115000,0.999176979064941,115000,0.999781012535095,1,1
36.5466118,-1.2630659,106480365466404770,36.54661513,-1.26309307,0.00911999959498644,0.00753000006079674,52,19.0548000335693,0.00476799998432398,10,18.8222999572754,0.00562699977308512,14,18.7602005004883,0.00603500008583069,9,18.8892002105713,0.00798899959772825,60,11,16,12,115000,0.999834001064301,115000,0.999724984169006,115000,0.999714016914368,1,1
58.0775986,-1.263533,106480580775754216,58.07762044,-1.26352834,0.0388099998235703,0.025560000911355,52,20.3845996856689,0.0162630006670952,5,19.8882007598877,0.0174979995936155,12,19.6415996551514,0.0152470003813505,14,20.0349006652832,0.0270189996808767,60,5,14,17,115000,0.999859988689423,115000,0.99965101480484,115000,0.999677002429962,1,1
313.756897,-1.2631272,106483137569214651,313.75691184,-1.26314682,0.00681999977678061,0.0135300001129508,52,18.3658008575439,0.00772600015625358,10,18.3192005157471,0.00577800022438169,12,18.343900680542,0.00452600000426173,23,18.3600006103516,0.00803199969232082,88,12,14,27,115000,0.999661028385162,115000,0.999698996543884,115000,0.999661982059479,1,1
316.3433838,-1.2617452,106483163433996377,316.34340782,-1.261772,0.00765000004321337,0.00899000000208616,52,20.580099105835,0.0211779996752739,12,20.2731990814209,0.00992299988865852,16,20.1525993347168,0.01503000035882,20,20.3689994812012,0.0354790017008781,62,16,16,20,115000,0.999605000019073,115000,0.998669028282166,115000,0.999575018882751,1,1
336.689209,-1.2636579,106483366891644057,336.68916714,-1.26367279,0.0104200001806021,0.0118100000545383,52,19.3432998657227,0.0129829999059439,12,19.1233997344971,0.00800099968910217,17,19.0277004241943,0.00505900010466576,28,19.2129001617432,0.00878699962049723,79,14,18,28,115000,0.999083995819092,115000,0.999210000038147,115000,0.999673008918762,1,1
346.4689636,-1.260236,106483464690158166,346.46904547,-1.26026848,0.0066800001077354,0.00674000009894371,52,20.6562995910645,0.0123899998143315,15,20.0977001190186,0.0125280003994703,14,19.8439998626709,0.0158789996057749,16,20.2164001464844,0.0251129996031523,82,17,14,21,115000,0.999559998512268,115000,0.999714016914368,115000,0.999661982059479,1,1
349.7842102,-1.263019,106483497841924789,349.78418513,-1.26302229,0.0109200002625585,0.011009999550879,52,21.0139007568359,0.0477269999682903,10,20.8649005889893,0.0386650003492832,12,20.5016002655029,0.0288149993866682,24,21.0515003204346,0.0446540005505085,59,12,14,24,115000,0.999652028083801,115000,0.999128997325897,115000,0.999709010124207,1,1
3.321485,-1.250373,106490033214999969,3.32149534,-1.25036655,0.00756999989971519,0.0100100003182888,52,19.6725997924805,0.0146840000525117,12,19.6881008148193,0.0127170002087951,22,19.7784996032715,0.0119799999520183,24,19.8157997131348,0.0284679997712374,79,13,22,26,115000,0.999475002288818,115000,0.999830007553101,115000,0.999234020709991,1,1
23.8691769,-1.2508759,106490238691969420,23.86918407,-1.25088528,0.00515000009909272,0.00578999985009432,52,19.0324993133545,0.00511599984019995,5,18.8458003997803,0.0116830002516508,12,18.8227996826172,0.00819499976933002,10,18.9347991943359,0.0183780007064343,48,8,12,12,115000,0.999449014663696,115000,0.999629020690918,115000,0.999848008155823,1,1
26.5967197,-1.252893,106490265966536975,26.59671872,-1.2528989,0.0119899995625019,0.00698000006377697,52,19.9139995574951,0.0080979997292161,9,19.8356990814209,0.0146409999579191,14,19.7931995391846,0.0105429999530315,10,19.9734001159668,0.0276980008929968,50,9,14,13,115000,0.998817980289459,115000,0.999677002429962,115000,0.999608993530273,1,1
30.5450306,-1.2570529,106490305450611913,30.54507888,-1.25709889,0.0298500005155802,0.030859999358654,52,20.1208000183105,0.0756070017814636,4,20.2956008911133,0.0164899993687868,11,19.985200881958,0.014317000284791,21,20.3763008117676,0.0386639982461929,67,7,12,23,115000,0.998889982700348,115000,0.998961985111237,115000,0.999738991260529,1,1
30.5450306,-1.2570529,106490305450611913,30.54507888,-1.25709889,0.0298500005155802,0.030859999358654,52,20.1208000183105,0.0756070017814636,4,20.2956008911133,0.0164899993687868,11,19.985200881958,0.014317000284791,21,20.3763008117676,0.0386639982461929,67,7,12,23,115000,0.998889982700348,115000,0.998961985111237,115000,0.999738991260529,1,1
