# object_id,ra,dec,patch_s,tract
36437961373403288,39.47416028524572,-7.014239640131567,"1,2",8285
36438511129211952,38.57898866183305,-7.149205371345095,"5,2",8285
36443321492587240,39.59193807332757,-7.036970534509143,"8,2",8286
40022386459825344,173.1429535418406,-1.8664722708769583,"1,6",9100
40022386459825496,173.16161110370228,-1.8581000645759918,"1,6",9100
40022386459830144,173.0999091288682,-1.7682043794037665,"1,6",9100
40026647067394528,174.7828422797037,-1.7691162721701936,"0,6",9101
40026780211370408,174.60033244060563,-2.1020372701868544,"1,5",9101
40027046499337480,174.1714292871245,-2.4752047828062564,"3,3",9101
40027050794314408,174.1998974863191,-2.1551245755767887,"3,4",9101
40027059384248968,174.218610504146,-1.8940149053063493,"3,6",9101
40027334262152224,173.80890608020314,-1.932277065178133,"5,6",9101
40031732308664544,175.411508313429,-1.892294130986702,"5,6",9102
40031732308668424,175.27315719404797,-1.8147443266778958,"5,6",9102
40031736603634296,175.4029196937445,-1.6857037923296534,"5,7",9102
40031878337556208,175.08342606339713,-1.4937914557798113,"6,8",9102
40035572009423568,177.56109217246592,-2.283106052323391,"1,4",9103
40035722333285496,177.43247887984705,-1.7093061371231957,"2,7",9103
40035984326284328,177.09957957820097,-2.223820157124587,"4,4",9103
40035992916222992,176.9702307438401,-1.887660941043748,"4,6",9103
40036130355173136,176.9310366877063,-1.9241448834463797,"5,6",9103
40036138945108736,176.8268079905638,-1.5351900600587653,"5,8",9103
40036263499158568,176.67281360624133,-2.067969712024234,"6,5",9103
40039978645875160,178.99812606871006,-1.904239162783066,"1,6",9104
40040253523787200,178.75755708571936,-1.8005436020364636,"3,6",9104
40040257818760520,178.7223968931469,-1.589586098779764,"3,7",9104
40040803279597336,177.95423333338704,-1.8065889417155192,"7,6",9104
40040936423576792,177.85577298561654,-2.129878655394228,"8,5",9104
40040945013521080,177.7567639598583,-1.6053875961615396,"8,7",9104
40044917858260416,179.86346576365958,-2.276752824268445,"5,4",9105
40044930743166328,179.81393719186073,-1.7641858144429496,"5,7",9105
40045059592186488,179.62514019656294,-1.98034368364231,"6,5",9105
40045068182128328,179.59736036028897,-1.6323592178934359,"6,7",9105
40048633004970408,182.15040122078472,-2.1234812911289174,"0,5",9106
40048770443927560,182.10347483434072,-2.0423485764737443,"1,5",9106
40048779033871088,182.10349445874894,-1.5868335765254564,"1,7",9106
40048899292938080,181.90943848219828,-2.508202290100491,"2,3",9106
40048916472820736,181.7668037875612,-1.6435710745310343,"2,7",9106
40049187055762848,181.5080733702773,-1.8302040782682971,"4,6",9106
40049607962553824,181.0155030644897,-1.5205286789640082,"7,8",9106
40053172785408840,183.5315504555728,-1.8211870498000122,"1,6",9107
40053447663310808,183.1660836841136,-1.8806267018018967,"3,6",9107
40053580807276088,183.03261641774378,-2.102257823345709,"4,5",9107
40053585102269296,182.92892800670703,-1.779956838930264,"4,6",9107
40053713951266528,182.85141603189024,-2.1805510306883904,"5,4",9107
40053718246246584,182.85649788318742,-2.127784246567142,"5,5",9107
40053722541217432,182.87248554408185,-1.9023207867378307,"5,6",9107
40057433392960744,185.15854841669739,-1.879606051435298,"0,6",9108
40057441982895672,185.18005245884078,-1.5376148412926858,"0,8",9108
40057579421849944,184.97440025695366,-1.5291835450937272,"1,8",9108
40057708270867992,184.7481791006742,-1.9227758394978813,"2,6",9108
40057974558841688,184.4361269343291,-2.1749121924700865,"4,4",9108
40057978853805840,184.52602801906897,-2.062388423012525,"4,5",9108
40057983148773888,184.51248466579378,-1.9106419075835948,"4,6",9108
40057983148777280,184.4458264974982,-1.8471717718541854,"4,6",9108
40058111997789416,184.29968037823738,-2.2008246369777393,"5,4",9108
40058258026687104,184.06164321487267,-1.8003502285761583,"6,6",9108
40058520019680000,183.73422296159757,-2.4161462655012884,"8,3",9108
40058520019680496,183.67993165298904,-2.3975971865901,"8,3",9108
40058532904591320,183.73229187091616,-1.808035380656988,"8,6",9108
40061822849535568,186.7028853533759,-2.2150329120936028,"0,4",9109
40061964583461760,186.496060523464,-1.9987609547474825,"1,5",9109
40061968878427056,186.45246748563528,-1.875955273686832,"1,6",9109
40062093432470880,186.28182329419334,-2.377997649193004,"2,3",9109
40062097727446200,186.25365073244785,-2.1896031584639113,"2,4",9109
40062376900317632,185.94107032240956,-2.0839905623604538,"4,5",9109
40062381195287832,185.96834095339008,-1.8655437728614566,"4,6",9109
40062389785217928,185.946845330114,-1.551779738204562,"4,8",9109
40066371219913472,187.9841907194945,-1.5914747116315264,"1,7",9110
40066495773954096,187.90594995529682,-2.2843649189354207,"2,4",9110
40066500068924192,187.81589334604718,-2.0847556356278303,"2,5",9110
40066504363891760,187.8671909136717,-1.8944391280076245,"2,6",9110
40066628917931256,187.6586757007627,-2.405430943973952,"3,3",9110
40066912385779184,187.15661959515887,-2.0998901019851526,"5,5",9110
40067054119705336,187.15460504841005,-1.8713901158880852,"6,6",9110
40067337587542848,186.73285679752206,-1.5571798103790468,"8,8",9110
40071181583276424,188.82957694036435,-1.6834882080173768,"4,7",9111
40071310432296392,188.7194648051522,-2.0045833280446788,"5,5",9111
40071589605174904,188.447134569439,-1.8150823597502153,"7,6",9111
40071731339095344,188.20217904052507,-1.6157465061873695,"8,7",9111
40075309046847720,190.7041987044159,-1.5151699464849353,"2,8",9112
40079427920482304,192.58313833103387,-1.7228342042744595,"0,7",9113
40079569654398520,192.455302308671,-1.5702718441887535,"1,8",9113
40079973381328568,191.9728872287921,-1.787501320426564,"4,6",9113
40079977676295144,191.87904905860276,-1.7077253019683822,"4,7",9113
40080110820279920,191.69685605880218,-1.7860539478518904,"5,6",9113
40080389993155192,191.3948015949112,-1.7528035008239025,"7,7",9113
40119143483066424,205.81038954111304,-1.936087558660025,"1,6",9122
40119143483066984,205.81729916295174,-1.9208400718555063,"1,6",9122
40119152073006984,205.8026245816276,-1.5134197964220641,"1,8",9122
40119276627049936,205.68629978945177,-2.0411292693961216,"2,5",9122
40123404090627944,207.49115447183658,-1.8933002680668243,"0,6",9123
40123678968535256,207.23336520272017,-1.898224567040396,"2,6",9123
40123683263509776,207.0674937908193,-1.5857318088101788,"2,7",9123
40123803522577392,207.00322217311503,-2.3703391654842556,"3,3",9123
40123812112517232,206.96519638695338,-2.135420281344498,"3,5",9123
40123816407490368,206.95516735330438,-1.873439685707411,"3,6",9123
40123820702460472,207.03846027785028,-1.6481256336281151,"3,7",9123
40124086990422224,206.5029229676185,-2.1162170695585636,"5,5",9123
40124220134409968,206.4594889969224,-2.1575614682993276,"6,4",9123
40124228724348544,206.3692243599796,-1.8717766067889847,"6,6",9123
40124361868333136,206.20838311563293,-1.979442809460353,"7,5",9123
40124370458271496,206.29129351641646,-1.6530028742858327,"7,7",9123
40128085604970480,208.7263132419953,-1.54691454264669,"2,8",9124
40128210159030656,208.52823159864414,-2.100020533547088,"3,5",9124
40128218748970384,208.54204704548087,-1.6967381942683235,"3,7",9124
40128480741972056,208.14165218085134,-2.2147257435931142,"5,4",9124
40128489331914416,208.06999795636898,-1.804503895019298,"5,6",9124
40128489331916008,208.01893806878502,-1.7708297361747947,"5,6",9124
40128618180924248,207.916739564128,-2.237344130612487,"6,4",9124
40128772799751480,207.77861562488053,-1.5012473443028076,"7,8",9124
40132187298743784,210.581150219299,-2.3980343097752845,"0,3",9125
40132191593707808,210.48328135064102,-2.316427433316815,"0,4",9125
40132204478595760,210.45158212350717,-1.7535819956723806,"0,7",9125
40132208773586648,210.47220046271335,-1.5529951908193513,"0,8",9125
40132483651496344,210.18182006971844,-1.5083599860690342,"2,8",9125
40132612500517408,210.01573116723316,-1.8233160832959676,"3,6",9125
40132621090448968,210.0259080897245,-1.538098413907691,"3,8",9125
40132749939468176,209.8234558514034,-1.8631674335629527,"4,6",9125
40132754234436456,209.68624376205048,-1.6974343003843497,"4,7",9125
