# RA Dec
3.394056090999999924e+02 -9.265729999999999800e-01
3.118379517000000192e+02 -4.638430000000000053e-01
2.000276100000000223e+00 -5.943999999999999631e-03
3.163776854999999841e+02 -9.785722000000000032e-01
5.559762570000000181e+01 -8.762708000000000164e-01
2.113647459999999967e+01 3.843820000000000014e-01
3.572766879999999645e+01 -6.796769000000000283e-01
3.166142578000000185e+02 -1.138675000000000104e+00
3.177140198000000169e+02 1.220162999999999887e+00
3.432600098000000344e+02 -7.107020000000000559e-01
3.424831543000000238e+02 1.203913199999999906e+00
3.502498168999999848e+02 -1.318320000000000047e-01
2.245815280000000058e+01 9.628149999999999764e-01
4.898029710000000136e+01 -1.077584000000000097e+00
3.208363953000000492e+02 4.154340000000000255e-01
3.555119710000000310e+01 7.629978000000000593e-01
3.530361899999999942e+00 -4.755649999999999600e-01
1.701600069999999931e+01 1.131859999999999949e-01
3.454290465999999924e+02 1.948719999999999897e-01
3.931372449999999930e+01 9.273409999999999709e-01
4.687391660000000115e+01 -7.294720000000000093e-01
1.706391910000000323e+01 -3.008040000000000158e-01
3.111584660000000113e+01 -1.210986000000000118e+00
3.421940610000000049e+01 4.724109999999999698e-01
