# skymap_id,tract,patch,mjd,taiobs
98060205,9806,"2,5",57340.5949091408,2015-11-14 14:16:40.150000
98050801,9805,"8,1",57106.3906519525,2015-03-25 09:22:32.329000
98060205,9806,"2,5",57340.6098160166,2015-11-14 14:38:08.104000
98050601,9805,"6,1",57340.6207667012,2015-11-14 14:53:54.243000
98060205,9806,"2,5",57454.3441314571,2016-03-07 08:15:32.958000
98050801,9805,"8,1",57106.3970345664,2015-03-25 09:31:43.787000
98050601,9805,"6,1",57340.6249900879,2015-11-14 14:59:59.144000
98060101,9806,"1,1",57340.6440540338,2015-11-14 15:27:26.269000
98050801,9805,"8,1",57106.4292047881,2015-03-25 10:18:03.294000
98050601,9805,"6,1",57340.6398088438,2015-11-14 15:21:19.484000
98060205,9806,"2,5",57454.3827936989,2016-03-07 09:11:13.376000
98050801,9805,"8,1",57340.5892127454,2015-11-14 14:08:27.981000
98060101,9806,"1,1",57454.3827936989,2016-03-07 09:11:13.376000
98060205,9806,"2,5",57454.4162668334,2016-03-07 09:59:25.454000
98050705,9805,"7,5",57106.3906519525,2015-03-25 09:22:32.329000
98050801,9805,"8,1",57340.6249900879,2015-11-14 14:59:59.144000
98060303,9806,"3,3",57340.5920650032,2015-11-14 14:12:34.416000
98060206,9806,"2,6",57340.5920650032,2015-11-14 14:12:34.416000
98050705,9805,"7,5",57106.4034679825,2015-03-25 09:40:59.634000
98050802,9805,"8,2",57106.3906519525,2015-03-25 09:22:32.329000
98060303,9806,"3,3",57340.6055880273,2015-11-14 14:32:02.806000
98060206,9806,"2,6",57340.5949091408,2015-11-14 14:16:40.150000
98050705,9805,"7,5",57340.5892127454,2015-11-14 14:08:27.981000
98060303,9806,"3,3",57340.6098160166,2015-11-14 14:38:08.104000
98050802,9805,"8,2",57106.3970345664,2015-03-25 09:31:43.787000
98060206,9806,"2,6",57340.6098160166,2015-11-14 14:38:08.104000
98050705,9805,"7,5",57340.6076946608,2015-11-14 14:35:04.819000
98060206,9806,"2,6",57454.3441314571,2016-03-07 08:15:32.958000
98060303,9806,"3,3",57340.6419334873,2015-11-14 15:24:23.053000
98050802,9805,"8,2",57106.4034679825,2015-03-25 09:40:59.634000
98050705,9805,"7,5",57340.6249900879,2015-11-14 14:59:59.144000
98050603,9805,"6,3",57106.3970345664,2015-03-25 09:31:43.787000
98060206,9806,"2,6",57454.3827936989,2016-03-07 09:11:13.376000
98060303,9806,"3,3",57454.3827936989,2016-03-07 09:11:13.376000
98050705,9805,"7,5",57454.3383787796,2016-03-07 08:07:15.927000
98050802,9805,"8,2",57106.4292047881,2015-03-25 10:18:03.294000
