# skymap_id,tract,patch,mjd,taiobs
100410606,10041,"6,6",57785.3228635,2017-02-01 07:44:55.406000
100410606,10041,"6,6",58128.37454784,2018-01-10 08:59:20.933000
100410606,10041,"6,6",58128.4013775,2018-01-10 09:37:59.016000
100410606,10041,"6,6",57785.31370699,2017-02-01 07:31:44.284000
100410606,10041,"6,6",58128.42055208,2018-01-10 10:05:35.700000
100410606,10041,"6,6",57785.31862179,2017-02-01 07:38:48.923000
100410606,10041,"6,6",57398.3937204517,2016-01-11 09:26:57.447000
100410606,10041,"6,6",58128.41206422,2018-01-10 09:53:22.348000
100410606,10041,"6,6",57785.32706353,2017-02-01 07:50:58.289000
100420606,10042,"6,6",57785.45520358,2017-02-01 10:55:29.589000
100420606,10042,"6,6",58128.37734457,2018-01-10 09:03:22.571000
100420606,10042,"6,6",58128.40346733,2018-01-10 09:40:59.577000
100420606,10042,"6,6",58128.41417514,2018-01-10 09:56:24.732000
100420606,10042,"6,6",57398.3958339826,2016-01-11 09:30:00.056000
100420606,10042,"6,6",57785.31651162,2017-02-01 07:35:46.604000
100420606,10042,"6,6",57785.32071178,2017-02-01 07:41:49.498000
100420606,10042,"6,6",57785.32496101,2017-02-01 07:47:56.631000
100420606,10042,"6,6",57785.32916024,2017-02-01 07:53:59.445000
100430606,10043,"6,6",58128.42267508,2018-01-10 10:08:39.127000
100430606,10043,"6,6",57398.397950992,2016-01-11 09:33:02.966000
100430606,10043,"6,6",57398.4000918726,2016-01-11 09:36:07.938000
100430606,10043,"6,6",58128.39472678,2018-01-10 09:28:24.393000
100430606,10043,"6,6",58128.39928269,2018-01-10 09:34:58.025000
100430606,10043,"6,6",58128.40556754,2018-01-10 09:44:01.036000
100430606,10043,"6,6",58128.41417514,2018-01-10 09:56:24.732000
100430606,10043,"6,6",58128.41626969,2018-01-10 09:59:25.701000
100440606,10044,"6,6",58128.39053422,2018-01-10 09:22:22.156000
100440606,10044,"6,6",58128.40765577,2018-01-10 09:47:01.458000
100440606,10044,"6,6",58128.41837514,2018-01-10 10:02:27.612000
100440606,10044,"6,6",57398.4000918726,2016-01-11 09:36:07.938000
100440606,10044,"6,6",57398.4022220271,2016-01-11 09:39:11.983000
100450606,10045,"6,6",58128.39262526,2018-01-10 09:25:22.822000
100450606,10045,"6,6",57398.4285406806,2016-01-11 10:17:05.915000
100450606,10045,"6,6",57454.3991919491,2016-03-07 09:34:50.184000
100450606,10045,"6,6",58128.40974909,2018-01-10 09:50:02.321000
100450606,10045,"6,6",57454.347264396,2016-03-07 08:20:03.644000
